     DEBUG |   80 | KB4IT           | [CONTROLLER] KB4IT version=0.7.6+build.17
     DEBUG |   81 | KB4IT           | [CONTROLLER] SYS python=3.14.5 (main, May 10 2026, 19:28:16) [Clang 22.1.3 ]
     DEBUG |   82 | KB4IT           | [CONTROLLER] SYS mako=1.3.12
     DEBUG |   83 | KB4IT           | [CONTROLLER] SYS platform=Ubuntu 24.04.4 LTS
     DEBUG |   84 | KB4IT           | [CONTROLLER] GPATH_ROOT path=/home/runner/.local/share/uv/tools/kb4it/lib/python3.14/site-packages/kb4it
     DEBUG |   85 | KB4IT           | [CONTROLLER] LPATH_ROOT path=/home/runner/.kb4it
     DEBUG |  103 | KB4IT           | [CONTROLLER] PARAM name=action value=build
     DEBUG |  103 | KB4IT           | [CONTROLLER] PARAM name=config value=config/repo_force_mode.json
     DEBUG |  103 | KB4IT           | [CONTROLLER] PARAM name=force value=False
     DEBUG |  103 | KB4IT           | [CONTROLLER] PARAM name=log_level value=DEBUG
     DEBUG |  146 | KB4IT           | [CONTROLLER] SERVICE_REGISTER name=DB
     DEBUG |  146 | KB4IT           | [CONTROLLER] SERVICE_REGISTER name=Backend
     DEBUG |  146 | KB4IT           | [CONTROLLER] SERVICE_REGISTER name=Frontend
     DEBUG |  146 | KB4IT           | [CONTROLLER] SERVICE_REGISTER name=Builder
     DEBUG |  146 | KB4IT           | [CONTROLLER] SERVICE_REGISTER name=Workflow
     DEBUG |  165 | KB4IT           | [CONTROLLER] START version=0.7.6+build.17
     DEBUG |  166 | KB4IT           | [CONTROLLER] ACTION name=build
     DEBUG |   59 | Workflow        | [SERVICE] STARTED name=Workflow
     DEBUG |   48 | Backend         | [BACKEND] CONFIG_FILE path=/home/runner/work/techdoc/techdoc/config/repo_force_mode.json
     DEBUG |   50 | Backend         | [BACKEND] CONFIG_LOADED
     DEBUG |   87 | Backend         | [BACKEND] VAR_CLEARED path=/home/runner/work/techdoc/techdoc/var reason=force
     DEBUG |  101 | Backend         | [BACKEND] LOG_FILE path=/home/runner/work/techdoc/techdoc/var/log/kb4it.log
     DEBUG |   59 | Database        | [SERVICE] STARTED name=Database
     DEBUG |   59 | Builder         | [SERVICE] STARTED name=Builder
     DEBUG |  146 | KB4IT           | [CONTROLLER] SERVICE_REGISTER name=Processor
     DEBUG |  217 | Backend         | [BACKEND] KBDICT_ENTRIES n=2
     DEBUG |   59 | Processor       | [SERVICE] STARTED name=Processor
     DEBUG |   59 | Backend         | [SERVICE] STARTED name=Backend
      INFO |  128 | Workflow        | [WORKFLOW] BUILD theme=techdoc repo=KB4IT
      INFO |  130 | Workflow        | [WORKFLOW] STAGE n=1 name=check_environment
     DEBUG |   59 | Frontend        | [SERVICE] STARTED name=Frontend
     DEBUG |  254 | Backend         | [BACKEND] CHECKS_START
     DEBUG |  255 | Backend         | [BACKEND] DIR name=cache path=/home/runner/work/techdoc/techdoc/var/cache
     DEBUG |  256 | Backend         | [BACKEND] DIR name=tmp path=/home/runner/work/techdoc/techdoc/var/tmp
     DEBUG |  257 | Backend         | [BACKEND] DIR name=www path=/home/runner/work/techdoc/techdoc/var/www
     DEBUG |  263 | Backend         | [BACKEND] DIR name=source path=/home/runner/work/techdoc/techdoc/source
     DEBUG |  268 | Backend         | [BACKEND] DIR name=target path=/home/runner/work/techdoc/techdoc/docs
     DEBUG |  179 | Frontend        | [FRONTEND] THEME_CANDIDATE scope=source path=/home/runner/work/techdoc/techdoc/source/resources/themes/techdoc
     DEBUG |  180 | Frontend        | [FRONTEND] THEME_CANDIDATE scope=optional path=/home/runner/.kb4it/opt/resources/themes/techdoc
     DEBUG |  181 | Frontend        | [FRONTEND] THEME_CANDIDATE scope=global path=/home/runner/.local/share/uv/tools/kb4it/lib/python3.14/site-packages/kb4it/resources/themes/techdoc
     DEBUG |  179 | Frontend        | [FRONTEND] THEME_CANDIDATE scope=source path=/home/runner/work/techdoc/techdoc/source/resources/themes/techdoc
     DEBUG |  180 | Frontend        | [FRONTEND] THEME_CANDIDATE scope=optional path=/home/runner/.kb4it/opt/resources/themes/techdoc
     DEBUG |  181 | Frontend        | [FRONTEND] THEME_CANDIDATE scope=global path=/home/runner/.local/share/uv/tools/kb4it/lib/python3.14/site-packages/kb4it/resources/themes/techdoc
     DEBUG |  104 | Frontend        | [FRONTEND] THEME_CONF name=Techdoc version=0.3.0
     DEBUG |  125 | Frontend        | [FRONTEND] THEME_REGISTER path=/home/runner/.local/share/uv/tools/kb4it/lib/python3.14/site-packages/kb4it/resources/themes/techdoc/logic
     DEBUG |  146 | KB4IT           | [CONTROLLER] SERVICE_REGISTER name=Theme
     DEBUG |   59 | Theme           | [SERVICE] STARTED name=Theme
